filename;reference_author;reference_year;reference_title
A-NETW~1.PDF; jagiellowicz, j., aron, a., aron, e.n.;2016;" relationship between the temperament trait of
sensory processing sensitivity and emotional reactivity"
A-NETW~1.PDF; aron, e.n.;1999;" high sensitivity as one source of fearfulness and shyness: preliminary research
and clinical implications"
A-NETW~1.PDF; belsky, j., pluess, m.;2009;" beyond diathesis stress: differential susceptibility to environmental
influences"
A-NETW~1.PDF; aron, e.n.;1996; counseling the highly sensitive person
A-NETW~1.PDF; aron, e.n.;2002;" the highly sensitive child: helping our children thrive when the world
overwhelms them"
A-NETW~1.PDF; aron, e.n.;2000; the highly sensitive person in love
A-NETW~1.PDF; rytovaara, m., aron, e.n.;1999; the highly sensitive person
A-NETW~1.PDF; aron, e.n., aron, a., jagiellowicz, j.;2012;" sensory processing sensitivity: a review in the light of
the evolution of biological responsivity"
A-NETW~1.PDF; aron, e.n., aron, a.;1997;" sensory-processing sensitivity and its relation to introversion and
emotionality"
A-NETW~1.PDF; benham, g.;2006; the highly sensitive person: stress and physical symptom reports
A-NETW~1.PDF; hebb, d.o.;2005; the organization of behavior: a neuropsychological theory
A-NETW~1.PDF; munakata, y., pfaffly, j.;2004; hebbian learning and development
A-NETW~1.PDF; jagiellowicz, j., xu, x., aron, a., aron, e.n., cao, g., feng, t., et al.;2011;" the trait of sensory
processing sensitivity and neural responses to changes in visual scenes"
A-NETW~1.PDF; kim, j.;1996; philosophy of mind
A-NETW~1.PDF; treur, j.;2016;" network-oriented modeling: addressing complexity of cognitive, affective and
social interactions"
A-NETW~1.PDF; kuipers, b.j.;1984;" commonsense reasoning about causality: deriving behavior from structure.
artif"
A-NETW~1.PDF; kuipers, b.j., kassirer, j.p.;1983;" how to discover a knowledge representation for causal
reasoning by studying an expert physician"
A-NETW~1.PDF; pearl, j.;2000; causality
Driver-Persistence-Safety-and-Older-Adult-Selfefficacy-Addressing-Driving-Challenges-Using-Innovative-Multimodal-Communication-ConceptsAdvances-in-Intelligent-Systems-and-Computing.pdf; langford, j., koppel, s.;2006;" epidemiology of older driver crashes – identifying older driver risk
factors and exposure patterns"
