filename;type;total count
05_56.pdf;pdf;15
1-s2.0-S1566253521002414-main.pdf;pdf;15
1-s2.0-S2214317316301287-main.pdf;pdf;15
1480083.1480099.pdf;pdf;15
15_1_581.pdf;pdf;15
1869750.pdf;pdf;15
2006.11371.pdf;pdf;15
2013 FCR Chuan Fertilizer recommendation wheat China.pdf;pdf;15
2102.07750.pdf;pdf;15
2103.07950.pdf;pdf;15
2107.00079.pdf;pdf;15
2112.11925.pdf;pdf;15
2201.00162.pdf;pdf;15
2201.04233.pdf;pdf;15
2201.04876.pdf;pdf;15
2202.03541.pdf;pdf;15
2202.05505.pdf;pdf;15
2202.10169.pdf;pdf;15
2204.13291.pdf;pdf;15
2205.02302.pdf;pdf;15
2205.14664.pdf;pdf;15
2206.03809.pdf;pdf;15
2209.03499.pdf;pdf;15
2209.04963.pdf;pdf;15
2209.07282.pdf;pdf;15
2209.09125.pdf;pdf;15
23642.pdf;pdf;15
2826-Article Text-4116-2-10-20220219.pdf;pdf;15
3402942.3402953.pdf;pdf;15
ajassp.2021.152.164.pdf;pdf;15
applsci-11-08861-v2.pdf;pdf;15
A_canopy_approach_to_nitrogen_fertilizer20160131-3248-ehh8b2-with-cover-page-v2.pdf;pdf;15
Best Practice_ 5 Schritte zur Minimum Viable Enterprise Architecture - cio.de.pdf;pdf;15
C1-4.pdf;pdf;15
cidr2021_paper26.pdf;pdf;15
CSE 21-135 Nazir.pdf;pdf;15
elb-12-11-05.pdf;pdf;15
Francesco_Maffezzoli_Thesis.pdf;pdf;15
Gusenbauern and Haddaway_2019_Which academic search systems are suitable.pdf;pdf;15
hi.pdf;pdf;15
IC2E_Edge_MLOps.pdf;pdf;15
machine-learning-in-production-from-experimented-ml-model-to-system (1).pdf;pdf;15
Martin-Martin et al_2018_Google scholar web of science.pdf;pdf;15
master_Stening_Joel_2022.pdf;pdf;15
MScthesis_Yizhen_Zhao.pdf;pdf;15
no.ntnu_inspera_76427839_35170985.pdf;pdf;15
Poster_Summer_School_20225.pdf;pdf;15
screenshot.pdf;pdf;15
sensors-22-04425-v2.pdf;pdf;15
Snyder_2019_Literature review as a research methodology_an overview and guidelines.pdf;pdf;15
SS08-02-008.pdf;pdf;15
tesi_enrico_salvucci.pdf;pdf;15
The%20AI%20Architecture%20of%20Versu.pdf;pdf;15
White_Paper_BWL_DL_Leyer_Vol3_Nr6_DE.pdf;pdf;15
WS5Paper10.pdf;pdf;15
XuRunyu_Summer2020.pdf;pdf;15
