filename,sum_functional_terms,sum_terms,cluster,rank
01655515221112844,30,8724,data science,0.0034387895460797797
01655515221112844,35,8724,mlops,0.004011921137093076
01655515221112844,1,8724,software engineering,0.00011462631820265933
01655515221112844,91,8724,xai/tai,0.010430994956442
01655515221112844,157,8724,,0.017996331957817514
01655515221112844_121026,30,8724,data science,0.0034387895460797797
01655515221112844_121026,1,8724,infrastructure,0.00011462631820265933
01655515221112844_121026,35,8724,mlops,0.004011921137093076
01655515221112844_121026,1,8724,software engineering,0.00011462631820265933
01655515221112844_121026,91,8724,xai/tai,0.010430994956442
01655515221112844_121026,158,8724,,0.018110958276020175
05_56,1,3657,achitecture,0.00027344818156959256
05_56,8,3657,data science,0.0021875854525567405
05_56,29,3657,mlops,0.007929997265518185
05_56,5,3657,software engineering,0.0013672409078479629
05_56,1,3657,xai/tai,0.00027344818156959256
05_56,44,3657,,0.012031719989062073
1-s2.0-S0933365722001750-main,4,16386,cloud,0.00024411082631514708
1-s2.0-S0933365722001750-main,31,16386,data science,0.0018918589039423899
1-s2.0-S0933365722001750-main,3,16386,infrastructure,0.0001830831197363603
1-s2.0-S0933365722001750-main,25,16386,mlops,0.0015256926644696693
1-s2.0-S0933365722001750-main,3,16386,software engineering,0.0001830831197363603
1-s2.0-S0933365722001750-main,207,16386,xai/tai,0.012632735261808862
1-s2.0-S0933365722001750-main,273,16386,,0.016660563896008788
1-s2.0-S0952197622004626-main,89,27522,achitecture,0.003233776615071579
1-s2.0-S0952197622004626-main,12,27522,cloud,0.0004360148245040331
1-s2.0-S0952197622004626-main,100,27522,data science,0.003633456870866943
1-s2.0-S0952197622004626-main,2,27522,infrastructure,7.266913741733885e-05
1-s2.0-S0952197622004626-main,137,27522,mlops,0.004977835913087711
1-s2.0-S0952197622004626-main,11,27522,software engineering,0.0003996802557953637
1-s2.0-S0952197622004626-main,5,27522,xai/tai,0.00018167284354334714
1-s2.0-S0952197622004626-main,356,27522,,0.012935106460286316
1-s2.0-S1566253521002414-main,1,14742,cloud,6.78334011667345e-05
1-s2.0-S1566253521002414-main,18,14742,data science,0.001221001221001221
1-s2.0-S1566253521002414-main,3,14742,infrastructure,0.0002035002035002035
1-s2.0-S1566253521002414-main,8,14742,mlops,0.000542667209333876
1-s2.0-S1566253521002414-main,32,14742,software engineering,0.002170668837335504
1-s2.0-S1566253521002414-main,37,14742,xai/tai,0.0025098358431691766
1-s2.0-S1566253521002414-main,99,14742,,0.006715506715506716
1-s2.0-S2214317316301287-main,0,663,,0.0
10-1108_REGE-06-2022-0100,23,10977,data science,0.002095290152136285
10-1108_REGE-06-2022-0100,4,10977,infrastructure,0.0003643982873280496
10-1108_REGE-06-2022-0100,5,10977,mlops,0.00045549785916006196
10-1108_REGE-06-2022-0100,50,10977,xai/tai,0.0045549785916006195
10-1108_REGE-06-2022-0100,82,10977,,0.007470164890225016
1480083.1480099,1,10014,data science,9.986019572598362e-05
1480083.1480099,1,10014,infrastructure,9.986019572598362e-05
1480083.1480099,34,10014,mlops,0.003395246654683443
1480083.1480099,11,10014,software engineering,0.00109846215298582
1480083.1480099,47,10014,,0.004693429199121231
15_1_581,14,5841,achitecture,0.002396849854476973
15_1_581,25,5841,cloud,0.004280089025851737
15_1_581,10,5841,data engineering,0.001712035610340695
15_1_581,8,5841,data science,0.001369628488272556
15_1_581,45,5841,infrastructure,0.007704160246533128
15_1_581,90,5841,mlops,0.015408320493066256
15_1_581,10,5841,software engineering,0.001712035610340695
15_1_581,1,5841,xai/tai,0.0001712035610340695
15_1_581,203,5841,,0.03475432288991611
1869750,11,28416,achitecture,0.00038710585585585586
1869750,33,28416,cloud,0.0011613175675675676
1869750,45,28416,data engineering,0.001583614864864865
1869750,3,28416,data science,0.00010557432432432433
1869750,64,28416,infrastructure,0.0022522522522522522
1869750,353,28416,mlops,0.012422578828828829
1869750,80,28416,software engineering,0.002815315315315315
1869750,4,28416,xai/tai,0.00014076576576576576
1869750,593,28416,,0.020868524774774775
2001005,0,1923,,0.0
2001055,0,11883,,0.0
2003.05155_121004,3,13740,cloud,0.0002183406113537118
2003.05155_121004,5,13740,data science,0.000363901018922853
2003.05155_121004,2,13740,infrastructure,0.0001455604075691412
2003.05155_121004,76,13740,mlops,0.005531295487627365
2003.05155_121004,7,13740,software engineering,0.0005094614264919942
2003.05155_121004,29,13740,xai/tai,0.0021106259097525473
2003.05155_121004,122,13740,,0.008879184861717612
2006.11371,8,28485,cloud,0.000280849569949096
2006.11371,92,28485,data science,0.003229770054414604
2006.11371,32,28485,mlops,0.001123398279796384
2006.11371,29,28485,software engineering,0.0010180796910654732
2006.11371,196,28485,xai/tai,0.006880814463752852
2006.11371,357,28485,,0.01253291205897841
2013 FCR Chuan Fertilizer recommendation wheat China,1,8457,infrastructure,0.00011824524062906468
2013 FCR Chuan Fertilizer recommendation wheat China,1,8457,,0.00011824524062906468
2021-2022-FileliChrysoula,46,46689,achitecture,0.0009852427766711646
2021-2022-FileliChrysoula,9,46689,cloud,0.00019276489108783655
2021-2022-FileliChrysoula,114,46689,data science,0.0024416886204459295
2021-2022-FileliChrysoula,263,46689,mlops,0.0056330184840112235
